Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,250,54,29,152,31.70,0.000%,8.38701,6.91,0.89,843.6
Home2,250,39,30,57,6.39,0.000%,8.41978,6.93,0.90,843.2
TOTAL,500,47,29,152,24.08,0.000%,16.75379,13.80,1.78,843.4
