Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,68,31,566,81.63,0.000%,10.76890,8.87,1.15,843.2
TOTAL,50,68,31,566,81.63,0.000%,10.76890,8.87,1.15,843.2
